t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1651224270,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224302,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224332,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224362,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224393,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224423,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224453,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224483,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224513,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224543,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224573,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224603,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224633,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224663,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224693,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224723,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224753,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224783,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224813,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224843,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224873,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224903,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224933,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224963,0,0.000000,0.000000,0.000000,0.000000,events/second
1651224993,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225023,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225053,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225083,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225113,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225143,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225173,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225203,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225233,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225263,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225293,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225324,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225354,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225384,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225414,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225444,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225474,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225504,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225534,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225564,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225594,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225624,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225654,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225684,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225714,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225744,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225774,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225804,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225834,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225864,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225894,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225924,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225954,0,0.000000,0.000000,0.000000,0.000000,events/second
1651225984,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226014,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226044,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226074,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226104,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226134,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226164,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226194,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226224,0,0.000000,0.000000,0.000000,0.000000,events/second
1651226254,0,0.000000,0.000000,0.000000,0.000000,events/second
