t,value
1651224270,0
1651224302,0
1651224332,0
1651224362,0
1651224393,0
1651224423,0
1651224453,0
1651224483,0
1651224513,0
1651224543,0
1651224573,0
1651224603,0
1651224633,0
1651224663,0
1651224693,0
1651224723,0
1651224753,0
1651224783,0
1651224813,0
1651224843,0
1651224873,0
1651224903,0
1651224933,0
1651224963,0
1651224993,0
1651225023,0
1651225053,0
1651225083,0
1651225113,0
1651225143,0
1651225173,0
1651225203,0
1651225233,0
1651225263,0
1651225293,0
1651225324,0
1651225354,0
1651225384,0
1651225414,0
1651225444,0
1651225474,0
1651225504,0
1651225534,0
1651225564,0
1651225594,0
1651225624,0
1651225654,0
1651225684,0
1651225714,0
1651225744,0
1651225774,0
1651225804,0
1651225834,0
1651225864,0
1651225894,0
1651225924,0
1651225954,0
1651225984,0
1651226014,0
1651226044,0
1651226074,0
1651226104,0
1651226134,0
1651226164,0
1651226194,0
1651226224,0
1651226254,0
1651226284,0
1651226314,0
1651226344,0
1651226374,0
1651226404,0
1651226434,0
1651226464,0
1651226494,0
1651226524,0
1651226554,0
1651226584,0
1651226614,0
1651226644,0
1651226674,0
1651226704,0
1651226734,0
1651226764,0
1651226794,0
1651226826,0
1651226856,0
1651226886,0
1651226916,0
1651226946,0
1651226976,0
1651227006,0
1651227036,0
1651227066,0
1651227096,0
1651227126,0
1651227156,0
1651227186,0
1651227216,0
1651227246,0
1651227276,0
1651227306,0
1651227336,0
1651227366,0
1651227396,0
1651227426,0
1651227456,0
1651227486,0
1651227516,0
1651227546,0
1651227576,0
1651227606,0
1651227636,0
1651227666,0
1651227696,0
1651227726,0
1651227756,0
1651227786,0
1651227816,0
1651227846,0
1651227876,0
1651227906,0
1651227936,0
1651227966,0
1651227996,0
1651228026,0
1651228056,0
1651228086,0
1651228116,0
1651228146,0
1651228176,0
1651228206,0
1651228236,0
1651228266,0
1651228296,0
1651228326,0
1651228356,0
1651228386,0
1651228416,0
1651228446,0
1651228476,0
1651228506,0
1651228536,0
1651228566,0
1651228596,0
1651228626,0
1651228656,0
1651228686,0
1651228717,0
1651228747,0
1651228777,0
1651228807,0
1651228837,0
1651228867,0
1651228897,0
1651228927,0
1651228957,0
1651228987,0
1651229017,0
1651229047,0
1651229077,0
1651229107,0
1651229137,0
1651229167,0
1651229197,0
1651229227,0
1651229257,0
1651229287,0
1651229317,0
1651229347,0
1651229377,0
1651229407,0
1651229437,0
1651229467,0
1651229497,0
1651229527,0
1651229557,0
1651229587,0
1651229617,0
1651229647,0
1651229677,0
1651229707,0
1651229737,0
1651229767,0
1651229797,0
1651229827,0
1651229857,0
1651229887,0
1651229917,0
1651229947,0
1651229977,0
1651230007,0
1651230037,0
1651230067,0
1651230097,0
1651230127,0
1651230157,0
1651230187,0
1651230217,0
1651230247,0
1651230277,0
1651230307,0
1651230337,0
1651230367,0
1651230397,0
1651230427,0
1651230457,0
1651230487,0
1651230517,0
1651230547,0
1651230577,0
1651230607,0
1651230637,0
1651230667,0
1651230697,0
1651230727,0
1651230757,0
1651230787,0
1651230817,0
1651230847,0
1651230877,0
1651230907,0
1651230937,0
1651230967,0
1651230997,0
1651231027,0
1651231057,0
1651231087,0
1651231117,0
1651231147,0
1651231177,0
1651231207,0
1651231237,0
1651231267,0
1651231297,0
1651231328,0
1651231358,0
1651231388,0
1651231418,0
1651231448,0
1651231478,0
1651231508,0
1651231538,0
1651231568,0
1651231598,0
1651231628,0
1651231658,0
1651231688,0
1651231718,0
1651231748,0
1651231778,0
1651231808,0
1651231838,0
1651231868,0
1651231898,0
1651231928,0
1651231958,0
1651231988,0
1651232018,0
1651232048,0
1651232078,0
1651232108,0
1651232138,0
1651232168,0
1651232198,0
1651232228,0
1651232258,0
1651232288,0
1651232318,0
1651232348,0
1651232378,0
1651232408,0
1651232438,0
1651232468,0
1651232498,0
1651232528,0
1651232558,0
1651232588,0
1651232618,0
1651232648,0
1651232678,0
1651232708,0
1651232738,0
1651232768,0
1651232798,0
1651232828,0
1651232858,0
1651232888,0
1651232918,0
1651232948,0
1651232978,0
1651233008,0
1651233038,0
1651233068,0
1651233098,0
1651233128,0
1651233158,0
1651233188,0
1651233218,0
1651233248,0
1651233278,0
1651233308,0
1651233338,0
1651233368,0
1651233398,0
1651233428,0
1651233458,0
1651233488,0
1651233518,0
1651233548,0
1651233578,0
1651233608,0
1651233638,0
1651233668,0
1651233698,0
1651233728,0
1651233758,0
1651233788,0
1651233818,0
1651233848,0
1651233878,0
1651233908,0
1651233938,0
1651233968,0
1651233998,0
